152,Slavkov u Brna,6215,11
153,Šlapanice,6216,11
154,Tišnov,6217,11
155,Veselí nad Moravou,6218,11
156,Vyškov,6219,11
157,Znojmo,6220,11
158,Židlochovice,6221,11
159,Hranice,7101,12
160,Jeseník,7102,12
161,Konice,7103,12
162,Lipník nad Bečvou,7104,12
163,Litovel,7105,12
164,Mohelnice,7106,12
165,Olomouc,7107,12
166,Prostějov,7108,12
167,Přerov,7109,12
168,Šternberk,7110,12
169,Šumperk,7111,12
170,Uničov,7112,12
171,Zábřeh,7113,12
172,Bystřice pod Hostýnem,7201,13
173,Holešov,7202,13
174,Kroměříž,7203,13
175,Luhačovice,7204,13
176,Otrokovice,7205,13
177,Rožnov pod Radhoštěm,7206,13
178,Uherské Hradiště,7207,13
179,Uherský Brod,7208,13
180,Valašské Klobouky,7209,13
181,Valašské Meziříčí,7210,13
182,Vizovice,7211,13
183,Vsetín,7212,13
184,Zlín,7213,13
185,Bílovec,8101,14
186,Bohumín,8102,14
187,Bruntál,8103,14
188,Český Těšín,8104,14
189,Frenštát pod Radhoštěm,8105,14
190,Frýdek-Místek,8106,14
191,Frýdlant nad Ostravicí,8107,14
192,Havířov,8108,14
193,Hlučín,8109,14
194,Jablunkov,8110,14
195,Karviná,8111,14
196,Kopřivnice,8112,14
197,Kravaře,8113,14
198,Krnov,8114,14
199,Nový Jičín,8115,14
200,Odry,8116,14
201,Opava,8117,14
202,Orlová,8118,14
203,Ostrava,8119,14
204,Rýmařov,8120,14
205,Třinec,8121,14
206,Vítkov,8122,14
1,Praha,1000,1
2,Benešov,2101,2
3,Beroun,2102,2
4,Brandýs nad Labem-Stará Boleslav,2103,2
5,Čáslav,2104,2
6,Černošice,2105,2
7,Český Brod,2106,2
8,Dobříš,2107,2
9,Hořovice,2108,2
10,Kladno,2109,2
11,Kolín,2110,2
12,Kralupy nad Vltavou,2111,2
13,Kutná Hora,2112,2
14,Lysá nad Labem,2113,2
15,Mělník,2114,2
16,Mladá Boleslav,2115,2
17,Mnichovo Hradiště,2116,2
18,Neratovice,2117,2
19,Nymburk,2118,2
20,Poděbrady,2119,2
21,Příbram,2120,2
22,Rakovník,2121,2
23,Říčany,2122,2
24,Sedlčany,2123,2
25,Slaný,2124,2
26,Vlašim,2125,2
27,Votice,2126,2
28,Blatná,3101,3
29,České Budějovice,3102,3
30,Český Krumlov,3103,3
31,Dačice,3104,3
32,Jindřichův Hradec,3105,3
33,Kaplice,3106,3
34,Milevsko,3107,3
35,Písek,3108,3
36,Prachatice,3109,3
37,Soběslav,3110,3
38,Strakonice,3111,3
39,Tábor,3112,3
40,Trhové Sviny,3113,3
41,Třeboň,3114,3
42,Týn nad Vltavou,3115,3
43,Vimperk,3116,3
