412,Lužce,3,2,89249
413,Malé Přílepy,3,2,90531
414,Málkov,3,2,90999
415,Korno,3,2,93009
416,Měňany,3,2,93017
417,Tobolka,3,2,93025
418,Mezouň,3,2,93866
419,Mořina,3,2,99309
420,Mořinka,3,2,99325
421,Nenačovice,3,2,103357
422,Nesvačily,3,2,103845
423,Nižbor,3,2,104680
424,Nový Jáchymov,3,2,107409
425,Otročiněves,3,2,116718
426,Podbrdy,3,2,123366
427,Drahlovice,3,2,148971
428,Hatě,3,2,148989
429,Hodyně,3,2,148997
430,Leč,3,2,149004
431,Skuhrov,3,2,149012
432,Srbsko,3,2,152986
433,Stašov,3,2,155314
434,Stradonice,3,2,155781
435,Borek,3,2,159239
436,Suchomasty,3,2,159247
437,Svatá,3,2,159964
438,Jánská,3,2,160245
439,Sedlec,3,2,160253
440,Svatý Jan pod Skalou,3,2,160261
441,Záhrabská,3,2,160270
442,Halouny,3,2,160776
443,Lhotka,3,2,160784
444,Svinaře,3,2,160792
445,Koda,3,2,166898
446,Tetín,3,2,166910
447,Lounín,3,2,167614
448,Tmaň,3,2,167622
449,Trněný Újezd,3,2,168327
450,Trubín,3,2,168963
451,Trubská,3,2,168971
452,Vinařice,3,2,182249
453,Vráž,3,2,185710
454,Všeradice,3,2,187291
455,Vysoký Újezd,3,2,188441
456,Zadní Třebaň,3,2,189596
457,Zahořany,3,2,189847
458,Černín,3,2,192422
459,Knížkovice,3,2,192431
460,Zdice,3,2,192449
461,Lhotka u Berouna,3,2,196037
462,Železná,3,2,196045
463,Žloukovice,3,2,197661
464,Beroun-Centrum,3,2,401862
465,Beroun-Jarov,3,2,401871
466,Beroun-Zdejcina,3,2,401889
467,Beroun-Hostim,3,2,401897
468,Beroun-Město,3,2,401901
469,Beroun-Závodí,3,2,401919
470,Beroun-Zavadilka,3,2,401927
471,Karlštejn,3,2,401943
472,Dolní Roblín,3,2,401951
473,Slavíky,3,2,401960
474,Králův Dvůr,3,2,401978
475,Pod Průhony,3,2,415871
476,Na Lhotkách,3,2,415880
477,U Vodojemu,3,2,415898
478,Průmyslová zóna,3,2,415901
479,Bašť,4,2,1121
480,Borek,4,2,7510
481,Bořanovice,4,2,8079
482,Zápy,4,2,9229
483,Popovice,4,2,9253
484,Veliký Brázdim,4,2,9784
485,Sedlčánky,4,2,19216
486,Císařská Kuchyně,4,2,19224
487,Záluží,4,2,19232
488,Dobročovice,4,2,27316
489,Dřevčice,4,2,32930
490,Dřísy,4,2,33111
491,Hlavenec,4,2,38962
492,Horoušánky,4,2,44792
493,Horoušany,4,2,44806
494,Hovorčovice,4,2,46388
495,Husinec,4,2,49671
496,Řež,4,2,49689
497,Dehtáry,4,2,58483
498,Jenštejn,4,2,58491
499,Jirny,4,2,60925
500,Nové Jirny,4,2,60933
501,Drasty,4,2,66010
502,Klecánky,4,2,66028
503,Klecany,4,2,66036
504,Klíčany,4,2,66206
505,Konětopy,4,2,69051
506,Kostelní Hlavno,4,2,70513
507,Křenek,4,2,75809
508,Lhota,4,2,80934
509,Líbeznice,4,2,82660
510,Máslovice,4,2,92223
511,Měšice,4,2,93441
512,Mochov,4,2,98060
513,Mratín,4,2,100111
514,Nehvízdky,4,2,102393
515,Nehvizdy,4,2,102407
